msgid,msgstr
This pattern is indented to be used with a LED stripe that is wound through ^_^all segments in an S pattern while the stripe being upright on its side. It ^_^can also be used with small pieces of LED stripes connected with short wires ^_^for large enough sizes.\n,Этот шаблон предназначен для использования с LED-лентой, которая проходит через ^_^все сегменты зигзагом, при этом лента стоит на ребре. Также можно использовать короткие куски LED-ленты, соединённые проводами, если размер позволяет.\n
You need a LED stripe that is wound through all segments in an S pattern and ^_^then continuing to the next digit while the stripe being upright on its ^_^side. Selecting *debug* gives a better idea how things fit together.\n^_^\n^_^Adding a diffuser on top or at the bottom of the segment holes will probably ^_^enhance the visuals. Just using paper may be enough.\n^_^\n^_^There is currently not a lot of space for electronics and this generator is ^_^still untested. Good luck!\n,Вам нужна LED-лента, которая проходит через все сегменты зигзагом, а затем продолжается к следующей цифре, при этом лента стоит на ребре. Включение *debug* даёт лучшее представление о том, как всё собирается.\n^_^\n^_^Добавление рассеивателя сверху или снизу отверстий сегментов, вероятно, улучшит внешний вид. Иногда достаточно просто бумаги.\n^_^\n^_^Сейчас мало места для электроники, и этот генератор ещё не тестировался. Удачи!\n
\n^_^The frame needed to build a shadowbox from paper cutouts.\n^_^The cutout used in the photographs can be downloaded [here](https://3axis.co/^_^laser-cut-my-neighbor-totoro-3d-lightbox-lamp-cdr-file/eoxldrxo/).\n^_^\n^_^See the diagram below for dimensions.\n^_^\n^_^![diagram](static/samples/Shadowbox-diagram.jpg)\n^_^\n^_^![backlit](static/samples/Shadowbox-backlit.jpg)\n,\n^_^Рамка, необходимая для создания теневого бокса из бумажных вырезок.\n^_^Вырезку, использованную на фотографиях, можно скачать [здесь](https://3axis.co/^_^laser-cut-my-neighbor-totoro-3d-lightbox-lamp-cdr-file/eoxldrxo/).\n^_^\n^_^Смотрите схему ниже для размеров.\n^_^\n^_^![схема](static/samples/Shadowbox-diagram.jpg)\n^_^\n^_^![подсветка](static/samples/Shadowbox-backlit.jpg)\n
"cumulative height of your paper layers, play between frames, the LED strip, ^_^battery/wiring, anything else you want to fit in the case","суммарная высота ваших бумажных слоёв, зазор между рамками, LED-лента, ^_^батарея/проводка, всё, что вы хотите поместить в корпус"
whether or not to join sides to front plate (disable if doing manual joins ^_^on fancy wood),соединять ли боковые стенки с передней панелью (отключите, если делаете ручные соединения ^_^на дорогой древесине)
Shoe shaped box with flat sides and rounded top.\n^_^    Works best if flex if under slight compression.\n^_^    Make sure that the following conditions are met:\n^_^    y > tophole + r + fronttop;\n^_^    height > frontheight.,Коробка в форме ботинка с плоскими боками и закруглённым верхом.\n^_^    Лучше всего работает, если гибкая часть слегка сжата.\n^_^    Убедитесь, что выполнены следующие условия:\n^_^    y > tophole + r + fronttop;\n^_^    height > frontheight.
Beware of the rolling shutter effect! Use wax on sliding surfaces.\n^_^\n^_^![Inside](static/samples/ShutterBox-3.jpg)\n^_^\n^_^![Detail](static/samples/ShutterBox-2.jpg)\n,Осторожно с эффектом «бегущего затвора»! Используйте воск на скользящих поверхностях.\n^_^\n^_^![Внутри](static/samples/ShutterBox-3.jpg)\n^_^\n^_^![Деталь](static/samples/ShutterBox-2.jpg)\n
Box with service hatches on either one or both of the sides that are locked ^_^with latches,Коробка с сервисными люками на одной или обеих сторонах, которые фиксируются ^_^защёлками
"\n^_^This box is designed as a housing for electronic projects but could be used ^_^for other purposes. It has hatches that can be re-opened with simple tools. ^_^If built from thin enough material, it intentionally cannot be opened with ^_^bare hands.\n^_^\n^_^The hatches are on the x sides.\n^_^\n^_^#### Assembly instructions\n^_^The main body is easy to assemble:\n^_^1. Starting with the floor and then add the four walls (for any removable ^_^sides, the wall will just be a small part on the base )\n^_^2. Add the top piece\n^_^\n^_^For the removable walls:\n^_^1. Add the lips to the removable walls\n^_^2. Sit the latches in place (it is importand to make sure the springs on the ^_^latches point inwards and the angled ends point to the side walls. See image ^_^below)\n^_^3. Glue the U-shaped clamps in place (it is important **not** to glue the ^_^latches)\n^_^\n^_^![Wall details](static/samples/SideDoorHousing.jpg)\n^_^\n^_^\n^_^#### Re-Opening\n^_^\n^_^The latches lock in place when closed. To open them they need to be pressed ^_^in and can then be moved aside.\n^_^\n^_^![Closed Box](static/samples/SideDoorHousing-2.jpg)\n^_^\n","\n^_^Эта коробка предназначена для электронных проектов, но может использоваться и для других целей. В ней есть люки, которые можно открыть простыми инструментами. Если сделать из достаточно тонкого материала, её специально нельзя открыть голыми руками.\n^_^\n^_^Люки расположены на x-сторонах.\n^_^\n^_^#### Инструкция по сборке\n^_^Основную часть собрать просто:\n^_^1. Начните с пола, затем добавьте четыре стенки (для съёмных сторон стенка будет просто небольшой частью основания)\n^_^2. Добавьте верхнюю часть\n^_^\n^_^Для съёмных стенок:\n^_^1. Приклейте выступы к съёмным стенкам\n^_^2. Установите защёлки (важно, чтобы пружины защёлок смотрели внутрь, а скошенные концы — к боковым стенкам. См. изображение ниже)\n^_^3. Приклейте U-образные зажимы (важно **не** приклеивать сами защёлки)\n^_^\n^_^![Детали стенки](static/samples/SideDoorHousing.jpg)\n^_^\n^_^\n^_^#### Повторное открытие\n^_^\n^_^Защёлки фиксируются при закрытии. Чтобы открыть, их нужно вдавить и сдвинуть в сторону.\n^_^\n^_^![Закрытая коробка](static/samples/SideDoorHousing-2.jpg)\n^_^\n"
"Box, with an hinge that does not protrude from the back of the box, and a ^_^latch.","Коробка с петлёй, которая не выступает за заднюю часть коробки, и с ^_^защёлкой."
"\n^_^This box is another take on a hinge box.\n^_^The hinges doesn't protrude from the box, but the sides needs double walls.\n^_^When opened, 2 sides are opening, improving access inside the box.\n^_^An optional latch is included, based on a mechanical switch and a 3D printed ^_^button.\n^_^The latch is one-way: the box can be closed freely\n^_^(this side of the button is angled, and totally smooth since it's the ^_^printing bed surface),\n^_^but can't be inadvertently opened.\n","\n^_^Эта коробка — ещё один вариант коробки с петлёй.\n^_^Петли не выступают за пределы коробки, но боковые стенки должны быть двойными.\n^_^При открытии открываются 2 стороны, что облегчает доступ внутрь.\n^_^В комплекте есть опциональная защёлка на основе механического переключателя и 3D-печатной кнопки.\n^_^Защёлка односторонняя: коробку можно свободно закрывать\n^_^(эта сторона кнопки скошена и полностью гладкая, так как это поверхность печатного стола),\n^_^но случайно открыть нельзя.\n"
"add one or two latches, based on 3D printing and a cherry mx compatible ^_^mechanical keyboard switch","добавьте одну или две защёлки, основанные на 3D-печати и совместимом с Cherry MX ^_^механическом переключателе клавиатуры"
\n^_^Cuttlery stand with carrying grip\n^_^using flex for rounded corners\n,\n^_^Подставка для столовых приборов с ручкой для переноски\n^_^использует гибкость для скруглённых углов\n
"Best cut from 5mm material to match the original. Use the included washers ^_^to mount. The board needs space towards the wall for hooks to go into.\n^_^\n^_^You can use boxes and holders from the \""WallMounted\"" group with \""skadis\"" ^_^as \""walltype\"". Note that these generators do not have any support to pick ^_^the right width(s). Inner distance between slots are 35 + n * 40 mm. It is ^_^recommended to cut the acceessories from 4 mm material. Then 36 + n * 40 mm ^_^should be used for inner widths. Deselect \""outside\"" where available to be ^_^able to deal with inner measurements.","Лучше всего резать из 5мм материала, чтобы соответствовать оригиналу. Используйте прилагаемые шайбы для крепления. Доске нужно место у стены для крючков.\n^_^\n^_^Вы можете использовать коробки и держатели из группы \""WallMounted\"" с параметром \""skadis\"" как \""walltype\"". Обратите внимание, что эти генераторы не поддерживают автоматический подбор ширины. Внутреннее расстояние между пазами: 35 + n * 40 мм. Рекомендуется вырезать аксессуары из 4 мм материала. Тогда для внутренних ширин используйте 36 + n * 40 мм. Отключайте \""outside\"", если нужно работать с внутренними размерами."
Can be used as a display or for cards or gaming tokens. Lay on the side to ^_^get piles to draw from.\n^_^    ![Example Use](static/samples/SlantedTray-2.jpg),Можно использовать как подставку или для карт/жетонов. Положите на бок, чтобы получить стопки для вытаскивания.\n^_^    ![Пример использования](static/samples/SlantedTray-2.jpg)
"* The sliding lid rests on the lower rails and is kept in place by the upper ^_^rails.\n^_^* When using inner measurements, the height goes from bottom to lid, the ^_^lower rail is inside of the inner height.\n^_^* The width of the rail can be adjusted, wider rails are more stable but ^_^make the opening smaller.\n^_^* The horizontal margin makes the lid slightly narrower to prevent the lid ^_^from jamming.\n^_^* The vertical margin makes the gap between the rails larger to let the lid ^_^slide more easily.\n^_^\n^_^![Closed](static/samples/SlidingLidBox-2.jpg)\n","* Сдвижная крышка лежит на нижних направляющих и удерживается верхними.\n^_^* При использовании внутренних размеров высота считается от дна до крышки, нижняя направляющая находится внутри внутренней высоты.\n^_^* Ширину направляющей можно регулировать: широкие направляющие устойчивее, но уменьшают проём.\n^_^* Горизонтальный зазор делает крышку чуть уже, чтобы она не заклинивала.\n^_^* Вертикальный зазор увеличивает расстояние между направляющими, чтобы крышка легче скользила.\n^_^\n^_^![Закрыто](static/samples/SlidingLidBox-2.jpg)\n"
Assemble inside out. If there are inner front to back walls start with ^_^attaching the floor boards to them. Then add the vertical inner left to ^_^right walls. After sliding in the slopes attach the outer wall to fix ^_^everything in place.\n^_^\n^_^If there are no inner front to back walls just add everything to one side ^_^wall and then add the other one after that. Possibly saving the front and ^_^back as last step.,Собирайте изнутри наружу. Если есть внутренние стены спереди назад, начните с крепления пола к ним. Затем добавьте вертикальные внутренние стены слева направо. После установки наклонов закрепите внешнюю стенку, чтобы всё зафиксировать.\n^_^\n^_^Если внутренних стен спереди назад нет, просто соберите всё на одной боковой стенке, а затем добавьте вторую. Возможно, переднюю и заднюю стенки стоит оставить на последок.
\n^_^\n^_^Drawers are not included:\n^_^\n^_^![Inside](static/samples/StorageRack-2.jpg)\n^_^![Back wall details](static/samples/StorageRack-3.jpg)\n^_^\n,\n^_^\n^_^Ящики не входят в комплект:\n^_^\n^_^![Внутри](static/samples/StorageRack-2.jpg)\n^_^![Детали задней стенки](static/samples/StorageRack-3.jpg)\n^_^\n
"The traffic light was created to visualize the status of a Icinga monitored ^_^system.\n^_^\n^_^When turned by 90°, it can be also used to create a bottle holder.\n","Светофор был создан для визуализации статуса системы, контролируемой Icinga.^_^\n^_^Если повернуть на 90°, его также можно использовать как подставку для бутылок.\n"
Tray insert without floor and outer walls - allows only continuous walls,Вкладыш для лотка без дна и внешних стенок — допускается только сплошная стенка
"## Tray/Box insert dividers.\n^_^Tray insert with extra margin for that perfect fit.\n^_^\n^_^You can specify the grid sizes with the standard `(sx, sy)` format, which ^_^allows nice\n^_^variable rows and columns.  If you  check the `outside` box, the full ^_^outside of the\n^_^tray insert ends up being the sum of all the sx/sy values.  However, if you ^_^want a\n^_^consistent cell size, and uncheck outside, then the overall dimensinos end ^_^up\n^_^larger by `(n-1)*thickenss`, to make space for your walls.\n^_^\n^_^You can specify the `x` and `y` parameters if you like, just make them ^_^larger than\n^_^what the sum of `(sx, sy)` would end up with, and the walls be automatically ^_^extended to\n^_^to exactly fill the inside of your tray or box.\n^_^\n^_^So, for example, if you're fitting `30mm x 40mm` items and want them to\n^_^fit inside a `250mm x 300mm` box, you can specify\n^_^\n^_^    sx = 30*8\n^_^    sy = 40*7\n^_^    uncheck outside\n^_^    x=250\n^_^    y=300\n^_^\n^_^This frees your mind into separately thinking about the cell size vs the ^_^overall box size.\n^_^\n^_^![Tray Extra](static/samples/TrayInsert-3.jpg)\n^_^    ","## Разделители для вкладышей лотков/коробок.\n^_^Вкладыш для лотка с дополнительным зазором для идеальной посадки.\n^_^\n^_^Вы можете указать размеры сетки в стандартном формате `(sx, sy)`, который ^_^позволяет удобно\n^_^создавать переменное количество строк и столбцов. Если вы отметите поле `outside`, внешний размер\n^_^вкладыша будет равен сумме всех значений sx/sy. Однако, если вы хотите\n^_^постоянный размер ячеек и снимете отметку с outside, то общие размеры будут\n^_^больше на `(n-1)*thickness`, чтобы оставить место для стенок.\n^_^\n^_^Вы также можете указать параметры `x` и `y`, просто сделайте их больше,\n^_^чем сумма `(sx, sy)`, и стенки автоматически расширятся,\n^_^чтобы точно заполнить внутреннюю часть вашего лотка или коробки.\n^_^\n^_^Например, если вы размещаете предметы размером `30мм x 40мм` и хотите,\n^_^чтобы они помещались в коробку `250мм x 300мм`, вы можете указать:\n^_^\n^_^    sx = 30*8\n^_^    sy = 40*7\n^_^    снять отметку outside\n^_^    x=250\n^_^    y=300\n^_^\n^_^Это позволяет вам отдельно продумывать размер ячейки и общий размер коробки.\n^_^\n^_^![Tray Extra](static/samples/TrayInsert-3.jpg)\n^_^    "
A two piece box where top slips over the bottom half to form the enclosure.,Двухкомпонентная коробка, где верхняя часть надевается на нижнюю, образуя корпус.
\n^_^Set *hi* larger than *h* to leave gap between the inner and outer shell. ^_^This can be used to make opening the box easier. Set *hi* smaller to only ^_^have a small inner ridge that will allow the content to be more visible ^_^after opening.\n^_^\n^_^![Bottom view](static/samples/TwoPiece2.jpg)\n, \n^_^Установите *hi* больше, чем *h*, чтобы оставить зазор между внутренней и внешней оболочкой. ^_^Это может облегчить открытие коробки. Установите *hi* меньше, чтобы оставить только небольшой внутренний выступ, который позволит содержимому быть более видимым после открытия.\n^_^\n^_^![Вид снизу](static/samples/TwoPiece2.jpg)\n
"which edges are flat (e) or grooved (z,Z), counter-clockwise from the front","какие края плоские (e) или с пазом (z,Z), против часовой стрелки от передней части"
"\""stud\"" to brace against the wall, \""hook\"" for attaching to a second cleat ^_^or \""none\"" for just straight","\""штырь\"" для упора в стену, \""крюк\"" для крепления ко второму креплению ^_^или \""нет\"" для просто прямого"
"\n^_^####Assembly Notes:\n^_^1. The generator produces three pieces with angled finger joints.\n^_^Bottom panel, sloped front panel and label panel (if enabled).\n^_^2. Joint lengths vary to accommodate the slope angles.\n^_^3. Orient pieces as shown in the generated layout to assemble correctly.\n","\n^_^####Примечания по сборке:\n^_^1. Генератор создает три детали с угловыми шиповыми соединениями.\n^_^Нижняя панель, наклонная передняя панель и панель для этикетки (если включена).\n^_^2. Длина соединений варьируется в зависимости от углов наклона.\n^_^3. Размещайте детали, как показано на сгенерированной схеме, чтобы правильно собрать.\n"
height of the front plate (in mm) - needs to be at least 7 time the thickness,высота передней панели (в мм) — должна быть не менее чем в 7 раз больше толщины
"\n^_^####Features:\n^_^- Configurable dimensions (width, height, depth)\n^_^- Adjustable front slope angle for easy access\n^_^- Optional label area on front face\n^_^- Stackable design with interlocking geometry\n^_^- Multiple wall mounting options\n^_^\n^_^####Stacking Compatibility:\n^_^The stacking mechanism requires careful consideration of wall mounting ^_^types.\n^_^Bins using \""plain\"" wall mounts can stack on bins with other mount types.\n^_^Note: Using the \""outside\"" dimension option is generally not compatible ^_^with stacking.\n^_^\n^_^####Assembly Notes:\n^_^1. The generator produces three pieces with angled finger joints.\n^_^Bottom panel, sloped front panel and label panel (if enabled).\n^_^2. Joint lengths vary to accommodate the slope angles\n^_^3. Orient pieces as shown in the generated layout to assemble correctly.\n","\n^_^####Особенности:\n^_^- Настраиваемые размеры (ширина, высота, глубина)\n^_^- Регулируемый угол наклона передней части для легкого доступа\n^_^- Необязательная область для этикетки на передней панели\n^_^- Конструкция с возможностью штабелирования и соединяющей геометрией\n^_^- Несколько вариантов крепления к стене\n^_^\n^_^####Совместимость при штабелировании:\n^_^Механизм штабелирования требует тщательного выбора типа крепления к стене.\n^_^Ящики с креплением \""plain\"" можно ставить на ящики с другими типами креплений.\n^_^Примечание: использование опции \""outside\"" обычно несовместимо со штабелированием.\n^_^\n^_^####Примечания по сборке:\n^_^1. Генератор создает три детали с угловыми шиповыми соединениями.\n^_^Нижняя панель, наклонная передняя панель и панель для этикетки (если включена).\n^_^2. Длина соединений варьируется в зависимости от углов наклона\n^_^3. Размещайте детали, как показано на сгенерированной схеме, чтобы правильно собрать.\n"
You are supposed to add holes or slots to the stair tops yourself using ^_^Inkscape or another vector drawing or CAD program.\n^_^\n^_^sh gives height of the stairs from front to back. Note that the overall ^_^width and height is bigger than the nominal values as walls and the ^_^protrusions are not included in the measurements.\n,Вам нужно самостоятельно добавить отверстия или прорези на верхней части ступеней с помощью ^_^Inkscape или другой программы для векторной графики или CAD.\n^_^\n^_^sh задает высоту ступеней от передней части к задней. Обратите внимание, что общая ^_^ширина и высота больше номинальных значений, так как стенки и ^_^выступы не включены в размеры.\n
"\n^_^With the \""flanged_ubeam\"" option, there is a fourth piece the length of ^_^\""y\"".\n^_^![U-Beam with flange](static/samples/ZBeam-flanged-ubeam.jpg)\n","\n^_^С опцией \""flanged_ubeam\"" появляется четвертая деталь длиной ^_^\""y\"".\n^_^![U-образная балка с фланцем](static/samples/ZBeam-flanged-ubeam.jpg)\n"
There is no image yet. Please donate an image of your project on <a ^_^href=&quot;https://github.com/florianfesti/boxes/issues/628&quot; ^_^target=&quot;_blank&quot; rel=&quot;noopener&quot;>GitHub</a>!,Пока нет изображения. Пожалуйста, добавьте фото вашего проекта на <a ^_^href=&quot;https://github.com/florianfesti/boxes/issues/628&quot; ^_^target=&quot;_blank&quot; rel=&quot;noopener&quot;>GitHub</a>!
"\n^_^        <a href=\""https://hackaday.io/project/10649-boxespy\"">Boxes.py</a> ^_^is an <a href=\""https://www.gnu.org/licenses/gpl-3.0.en.html\"">Open Source</^_^a> box generator written in <a href=\""https://www.python.org/\"">Python</a>. ^_^It features both finished parametrized generators as well as a Python API ^_^for writing your own. It features finger and (flat) dovetail joints, flex ^_^cuts, holes and slots for screws, hinges, gears, pulleys and much more.","\n^_^        <a href=\""https://hackaday.io/project/10649-boxespy\"">Boxes.py</a> ^_^— это <a href=\""https://www.gnu.org/licenses/gpl-3.0.en.html\"">открытый</^_^a> генератор коробок, написанный на <a href=\""https://www.python.org/\"">Python</a>. ^_^Он поддерживает как готовые параметрические генераторы, так и Python API ^_^для создания своих собственных. Поддерживаются шиповые и (плоские) ласточкин хвост соединения, гибкие ^_^прорези, отверстия и пазы для винтов, петель, шестерен, шкивов и многое другое."
