msgid,msgstr
glass_w,Ширина стекла или акрила
Width of the pre-cut glass or acrylic,Ширина стекла или акрила
glass_h,Высота стекла или акрила
Height of the pre-cut glass or acrylic,Высота стекла или акрила
frame_w,Ширина рамки вокруг паспарту
Width of the frame border around the matting,Ширина рамки вокруг паспарту
guide_fudge,Запас в пазу для облегчения вставки паспарту/стекла
Clearance in the guide pocket to help slide the matting/glass in,Запас в пазу для облегчения вставки паспарту/стекла
frame_overlap,Перекрытие рамки для удержания паспарту/стекла
Frame overlap to hold the matting/glass in place,Перекрытие рамки для удержания паспарту/стекла
split_front,Разделить переднюю часть на тонкие прямоугольники для экономии материала
Split front into thin rectangles to save material,Разделить переднюю часть на тонкие прямоугольники для экономии материала
PirateChest,Сундук с многоугольной крышкой на петлях
Box with polygon lid with chest hinges.,Сундук с многоугольной крышкой на петлях
"Do not assemble sides before attaching the lid!\n    Hinge of the lid has to be placed first because it is impossible\n    to get it in position without removing the side wall. The lid can\n    be a bit tricky to assemble. Keep track of how the parts fit together.\n    Part with label \""lid back\"" is placed in the hinges","Не собирайте боковые стенки до установки крышки!\n    Петля крышки должна быть установлена первой, иначе невозможно\n    поставить её без снятия боковой стенки. Крышку собирать немного сложно, следите за тем, как детали соединяются.\n    Деталь с надписью «lid back» вставляется в петли."
PirateChest Settings,Настройки PirateChest
number of sides on the lid. n ≥ 3,Количество сторон крышки. n ≥ 3
PizzaShovel,Лопатка для пиццы с конвейерной лентой
Pizza shovel with conveyor belt action,Лопатка для пиццы с конвейерной лентой
\nYou need (permanent) baking paper to create the conveyor. With that you can pick up and put down the pizza by moving the handle attached to the belt.\n    ,Вам понадобится (постоянная) пергаментная бумага для создания ленты. С её помощью можно поднимать и опускать пиццу, двигая ручку, прикреплённую к ленте.
PizzaShovel Settings,Настройки PizzaShovel
Length of the grip. Zero for holes for a screw-in handle,Длина ручки. Ноль — отверстия для навинчивающейся ручки
grip_height,Высота ручки
Height of the grip. Distance between the cross beams.,Высота ручки. Расстояние между поперечинами.
top_holes,Диаметр верхних отверстий для винтов в толкателе (куда проходят винты)
Diameter of the screw holes in the bottom of the pusher - where the screws pass through,Диаметр верхних отверстий для винтов в толкателе (куда проходят винты)
bottom_holes,Диаметр нижних отверстий для винтов в толкателе (куда крепятся винты)
Diameter of the screw holes in the bottom of the pusher - where the screws hold,Диаметр нижних отверстий для винтов в толкателе (куда крепятся винты)
grip_holes,Диаметр отверстий для винтов при нулевой длине ручки
Diameter of the screw holes for zero griplength,Диаметр отверстий для винтов при нулевой длине ручки
Planetary,Планетарная передача с возможностью нескольких одинаковых ступеней
Planetary Gear with possibly multiple identical stages,Планетарная передача с возможностью нескольких одинаковых ступеней
Planetary Settings,Настройки Planetary
sunteeth,Число зубьев солнечной шестерни
number of teeth on sun gear,Число зубьев солнечной шестерни
planetteeth,Число зубьев планетарной шестерни
number of teeth on planets,Число зубьев планетарной шестерни
maxplanets,Ограничение числа планетарных шестерён (0 — максимум)
limit the number of planets (0 for as much as fit),Ограничение числа планетарных шестерён (0 — максимум)
deltateeth,Включить второе кольцо с заданной разницей к основному
enable secondary ring with given delta to the ring gear,Включить второе кольцо с заданной разницей к основному
modulus of the theeth in mm,Модуль зубьев в мм
Planetary2,Планетарная передача с уравновешенной силой (ещё не работает корректно)
Balanced force Difference Planetary Gear (not yet working properly),Планетарная передача с уравновешенной силой (ещё не работает корректно)
Still has issues. The middle planetary gears set must not have a mashing sun gear as it can't be a proper gear set.,Пока есть проблемы. Средний комплект планетарных шестерён не должен иметь зацепляющуюся солнечную шестерню, иначе это не будет правильная передача.
Planetary2 Settings,Настройки Planetary2
profile,Профиль зубьев/ремня
profile of the teeth/belt,Профиль зубьев/ремня
40DP,40DP
AT5,AT5
GT2_2mm,GT2_2мм
GT2_3mm,GT2_3мм
GT2_5mm,GT2_5мм
H,H
HTD_3mm,HTD_3мм
HTD_5mm,HTD_5мм
HTD_8mm,HTD_8мм
MXL,MXL
T10,T10
T2_5,T2_5
T5,T5
XL,XL
screw1,диаметр нижней части отверстия под винт
diameter of lower part of the screw hole,диаметр нижней части отверстия под винт
screw2,диаметр верхней части отверстия под винт
diameter of upper part of the screw hole,диаметр верхней части отверстия под винт
pinsize,диаметр установочных штифтов
diameter of alignment pins,диаметр установочных штифтов
Platonic,Генератор платоновых тел
Platonic solids generator,Генератор платоновых тел
![Icosahedron](static/samples/Platonic-Icosahedron.jpg)\n,![Икосаэдр](static/samples/Platonic-Icosahedron.jpg)
Platonic Settings,Настройки Platonic
type,тип платонова тела
type of platonic solid,тип платонова тела
tetrahedron,тетраэдр
cube,куб
octahedron,октаэдр
dodecahedron,додекаэдр
icosahedro,икосаэдр
PoleHook,Крючок для шеста или трубы для крепления к другому шесту
Hook for pole like things to be clamped to another pole,Крючок для шеста или трубы для крепления к другому шесту
PoleHook Settings,Настройки PoleHook
diameter of the thing to hook,диаметр предмета для захвата
screw,винт
diameter of the screw in mm,диаметр винта в мм
screwhead,ширина головки винта
with of the screw head in mm,ширина головки винта в мм
screwheadheight,высота головки винта
height of the screw head in mm,высота головки винта в мм
pin,штифт
diameter of the pin in mm,диаметр штифта в мм
Pulley,Шкивы для зубчатых ремней разных профилей
Timing belt pulleys for different profiles,Шкивы для зубчатых ремней разных профилей
Pulley Settings,Настройки шкива
teeth,зубья
diameter of the axle,диаметр оси
insideout,наизнанку
create a ring gear with the belt being pushed against from within,создать внутреннее зубчатое колесо, прижимая ремень изнутри
overlap of top rim (zero for none),нахлест верхнего обода (ноль — нет)
Rack19Box,Коробка для 19-дюймовой стойки
"Closed box with screw on top for mounting in a 19\"" rack.","Закрытая коробка с винтом сверху для установки в 19-дюймовую стойку."
Rack19Box Settings,Настройки Rack19Box
height in rack units,высота в юнитах стойки
Rack10Box,Коробка для 10-дюймовой стойки
"Closed box with screw on top for mounting in a 10\"" rack.","Закрытая коробка с винтом сверху для установки в 10-дюймовую стойку."
Rack10Box Settings,Настройки Rack10Box
Rack19HalfWidth,Половина ширины 19-дюймовой стойки для музыкального оборудования
Half width 19inch rack unit for musical equipment.,Половина ширины 19-дюймовой стойки для музыкального оборудования.
Rack19HalfWidth Settings,Настройки Rack19HalfWidth
ru_count,количество юнитов стойки
number of rack units,количество юнитов стойки
"mounting patterns: x=xlr, m=midi, p=9v-power, w=6.5mm-wire, space=next row","шаблоны крепления: x=xlr, m=midi, p=9v-power, w=6.5mm-провод, space=следующий ряд"
depth of the shorter (rackear) side,глубина короткой стороны (крепежное ухо)
deepz,глубина длинной стороны (прикручивается к другой половине)
depth of the longer (screwed to another half sized thing) side,глубина длинной стороны (прикручивается к другой половине)
RackBox,Коробка для стойки
RackBox Settings,Настройки RackBox
RectangularWall,Прямоугольная стенка
Simple wall with options for different edges,Простая стенка с вариантами кромок
RectangularWall Settings,Настройки RectangularWall
C,С
I,I
j,й
J,Й
K,K
l,л
M,М
N,Н
o,о
O,О
p,п
P,П
q,к
Q,К
R,Р
u,у
U,У
V,В
right_edge,правая кромка
edge type for right edge,тип кромки для правой стороны
left_edge,левая кромка
edge type for left edge,тип кромки для левой стороны
Settings for rack (and pinion) edge,Настройки кромки для рейки (и шестерни)
pressure angle,угол давления
clearance,зазор
dimension,размер
modulus of the gear (in mm),модуль шестерни (в мм)
Profile shift,смещение профиля
Settings for GrippingEdge,Настройки захватной кромки
extend outward the straight edge,вынести прямую кромку наружу
"\""wave\"" or \""bumps\""","\"волна\" или \"бугры\""
wave,волна
bumps,бугры
depth of the grooves,глубина канавок
RegularBox,Обычная коробка с многоугольным основанием
Box with regular polygon as base,Коробка с правильным многоугольником в основании
"For short side walls that don't fit a connecting finger reduce *surroundingspaces* and *finger* in the Finger Joint Settings.\n\nThe lids needs to be glued. For the bayonet lid all outside rings attach to the bottom, all inside rings to the top.\n","Для коротких боковых стенок, в которые не помещается соединительный палец, уменьшите *surroundingspaces* и *finger* в настройках Finger Joint.\n\nКрышки нужно приклеивать. Для байонетной крышки все внешние кольца крепятся к низу, все внутренние — к верху.\n"
RegularBox Settings,Настройки RegularBox
radius_bottom,внутренний радиус дна коробки (по углам)
inner radius of the box bottom (at the corners),внутренний радиус дна коробки (по углам)
radius_top,внутренний радиус верха коробки (по углам)
inner radius of the box top (at the corners),внутренний радиус верха коробки (по углам)
number of sides,количество сторон
round lid,круглая крышка
bayonet mount,байонетное крепление
diameter of the alignment pins for bayonet lid,диаметр штифтов для байонетной крышки
style of the bottom and bottom lid,стиль дна и нижней крышки
RegularStarBox,Коробка-звезда с многоугольным основанием
Regular polygon boxes that form a star when closed,Многоугольные коробки, которые образуют звезду при закрытии
![Open box](static/samples/RegularStarBox-2.jpg),![Открытая коробка](static/samples/RegularStarBox-2.jpg)
RegularStarBox Settings,Настройки RegularStarBox
inner radius if the box (center to corners),внутренний радиус коробки (от центра до углов)
RobotArm,Сегменты роботизированной руки с сервоприводом
Segments of servo powered robot arm,Сегменты роботизированной руки с сервоприводом
RobotArm Settings,Настройки RobotArm
type1,тип сегмента руки
type of arm segment,тип сегмента руки
RobotArmMM,RobotArmMM
RobotArmMm,RobotArmMm
RobotArmUU,RobotArmUU
RobotArmUu,RobotArmUu
RobotArmMu,RobotArmMu
servo1a,тип сервопривода
type of servo to use,тип используемого сервопривода
Servo9g,Servo9g
servo1b,тип сервопривода для второй стороны (если поддерживается)
type of servo to use on second side (if different is supported),тип сервопривода для второй стороны (если поддерживается)
length1,длина сегмента от оси до оси
length of segment axle to axle,длина сегмента от оси до оси
type2,тип второго сегмента
servo2a,тип второго сервопривода
servo2b,тип второго сервопривода для второй стороны
length2,длина второго сегмента
type3,тип третьего сегмента
servo3a,тип третьего сервопривода
servo3b,тип третьего сервопривода для второй стороны
length3,длина третьего сегмента
type4,тип четвертого сегмента
servo4a,тип четвертого сервопривода
servo4b,тип четвертого сервопривода для второй стороны
length4,длина четвертого сегмента
type5,тип пятого сегмента
servo5a,тип пятого сервопривода
servo5b,тип пятого сервопривода для второй стороны
length5,длина пятого сегмента
RollHolder,Держатель для кухонных или других рулонов
Holder for kitchen rolls or other rolls,Держатель для кухонных или других рулонов
Needs a dowel or pipe as axle.,Требуется штифт или труба в качестве оси.
RollHolder Settings,Настройки RollHolder
length of the axle in mm,длина оси в мм
maximum diameter of the roll in mm (choose generously),максимальный диаметр рулона в мм (выбирайте с запасом)
height of mounting plate in mm,высота монтажной пластины в мм
diameter of the axle in mm including play,диаметр оси в мм с учетом люфта
diameter of mounting holes in mm,диаметр монтажных отверстий в мм
one_piece,единая деталь
have a continuous back plate instead of two separate holders,сплошная задняя пластина вместо двух отдельных держателей
Rotary,Ротационная насадка для гравировки цилиндрических объектов
Rotary Attachment for engraving cylindrical objects in a laser cutter,Ротационная насадка для гравировки цилиндрических объектов на лазерном станке
Rotary Settings,Настройки Rotary
outer diameter of the wheels (including O rings),внешний диаметр колес (включая O-кольца)
rubberthickness,толщина резины
diameter of the strings of the O rings,диаметр шнуров O-колец
diameter of the axles,диаметр осей
knifethickness,толщина ножей в мм
thickness of the knives in mm. Use 0 for use with honey comb table.,толщина ножей в мм. Используйте 0 для работы с сотовым столом.
beamwidth,ширина профиля (алюминиевого), соединяющего части
width of the (aluminium) profile connecting the parts,ширина (алюминиевого) профиля, соединяющего части
beamheight,высота профиля (алюминиевого), соединяющего части
height of the (aluminium) profile connecting the parts,высота (алюминиевого) профиля, соединяющего части
RoundedBox,Коробка с вертикальными скругленными ребрами
Box with vertical edges rounded,Коробка с вертикальными скругленными ребрами
\nDefault: edge_style = f Finger Joint:\n![Finger Joint](static/samples/RoundedBox-2.jpg)\n\nAlternative: edge_style = h Edge (parallel Finger Joint Holes):\n![Finger Joint Holes](static/samples/RoundedBox-3.jpg)\n\nWith lid:\n,"По умолчанию: edge_style = f Finger Joint:\n![Finger Joint](static/samples/RoundedBox-2.jpg)\n\nАльтернатива: edge_style = h Edge (параллельные отверстия Finger Joint):\n![Finger Joint Holes](static/samples/RoundedBox-3.jpg)\n\nС крышкой:\n"
RoundedBox Settings,Настройки RoundedBox
wallpieces,количество частей внешней стенки
number of pieces for outer wall,количество частей внешней стенки
edge_style,тип кромки
edge type for top and bottom edges,тип кромки для верхнего и нижнего краев
RoundedRegularBox,Коробка с многоугольным основанием и скругленными вертикальными ребрами
Regular polygone box with vertical edges rounded,Коробка с многоугольным основанием и скругленными вертикальными ребрами
\n![Lids off](static/samples/RoundedRegularBox2.jpg)\n,"\n![Крышки сняты](static/samples/RoundedRegularBox2.jpg)\n"
RoundedRegularBox Settings,Настройки RoundedRegularBox
inner_size,диаметр внутреннего круга в мм
diameter of the inner circle in mm,диаметр внутреннего круга в мм
number of pieces for outer wall (0 for one per side),количество частей внешней стенки (0 — по одной на сторону)
RoyalGame,Королевская игра Ур
The Royal Game of Ur,Королевская игра Ур
Most of the blue lines need to be engraved by cutting with high speed and low power. But there are three blue holes that actually need to be cut: The grip hole in the lid and two tiny rectangles on the top and bottom for the lid to grip into.\n\n![Lid Details](static/samples/RoyalGame-2.jpg)\n\n![All pieces](static/samples/RoyalGame-3.jpg)\n\n,"Большинство синих линий нужно гравировать, вырезая на высокой скорости и низкой мощности. Но есть три синих отверстия, которые действительно нужно вырезать: отверстие для захвата в крышке и два маленьких прямоугольника сверху и снизу, чтобы крышка могла зацепиться.\n\n![Детали крышки](static/samples/RoyalGame-2.jpg)\n\n![Все детали](static/samples/RoyalGame-3.jpg)\n\n"
RoyalGame Settings,Настройки RoyalGame
SevenSegmentPattern,Семисегментный шаблон
Holepatterns and walls for a seven segment digit,Отверстия и стенки для семисегментной цифры
This pattern is indented to be used with a LED stripe that is wound through all segments in an S pattern while the stripe being upright on its side. It can also be used with small pieces of LED stripes connected with short wires for large enough sizes.\n,"Этот шаблон предназначен для использования с LED-лентой, которая протягивается через все сегменты зигзагом, при этом лента стоит на ребре. Также можно использовать отдельные куски ленты, соединённые короткими проводами, если размер позволяет.\n"
SevenSegmentPattern Settings,Настройки SevenSegmentPattern
digit,цифра
height of the digit (without walls) in mm,высота цифры (без стенок) в мм
height separation walls in mm,высота разделительных стенок в мм
SevenSegmentClock,Семисегментные часы на LED-ленте
Seven segment clock build with LED stripe,Семисегментные часы, собранные на LED-ленте
You need a LED stripe that is wound through all segments in an S pattern and then continuing to the next digit while the stripe being upright on its side. Selecting *debug* gives a better idea how things fit together.\n\nAdding a diffuser on top or at the bottom of the segment holes will probably enhance the visuals. Just using paper may be enough.\n\nThere is currently not a lot of space for electronics and this generator is still untested. Good luck!\n,"Вам понадобится LED-лента, которая протягивается через все сегменты зигзагом, а затем продолжается к следующей цифре, при этом лента стоит на ребре. Включение *debug* даст лучшее представление о сборке.\n\nДобавление рассеивателя сверху или снизу сегментных отверстий улучшит внешний вид. Иногда достаточно просто бумаги.\n\nВ корпусе пока мало места для электроники, и этот генератор ещё не тестировался. Удачи!\n"
SevenSegmentClock Settings,Настройки SevenSegmentClock
height of the front panel (with walls if outside is selected) in mm,высота передней панели (со стенками, если выбрано outside) в мм
depth (with walls if outside is selected) in mm,глубина (со стенками, если выбрано outside) в мм
Shadowbox,Шэдоубокс / Лайтбокс
The frame and spacers necessary to display a shadowbox / lightbox.,Рамка и прокладки, необходимые для демонстрации шэдоубокса / лайтбокса.
\nThe frame needed to build a shadowbox from paper cutouts.\nThe cutout used in the photographs can be downloaded [here](https://3axis.co/laser-cut-my-neighbor-totoro-3d-lightbox-lamp-cdr-file/eoxldrxo/).\n\nSee the diagram below for dimensions.\n\n![diagram](static/samples/Shadowbox-diagram.jpg)\n\n![backlit](static/samples/Shadowbox-backlit.jpg)\n,"Рамка, необходимая для сборки шэдоубокса из бумажных вырезок.\nВырезку, использованную на фотографиях, можно скачать [здесь](https://3axis.co/laser-cut-my-neighbor-totoro-3d-lightbox-lamp-cdr-file/eoxldrxo/).\n\nСм. схему ниже для размеров.\n\n![схема](static/samples/Shadowbox-diagram.jpg)\n\n![подсветка](static/samples/Shadowbox-backlit.jpg)\n"
Shadowbox Settings,Настройки Shadowbox
layers,количество бумажных слоев
the number of paper layers; don't forget the back (blank) layer!,количество бумажных слоев; не забудьте про задний (пустой) слой!
framewidth,ширина рамки слоя
the width of the paper layer frames,ширина рамки бумажного слоя
frameheight,высота рамки слоя
the height of the paper layer frames,высота рамки бумажного слоя
"cumulative height of your paper layers, play between frames, the LED strip, battery/wiring, anything else you want to fit in the case","суммарная высота бумажных слоев, зазоры между рамками, LED-лента, батарейка/проводка и всё, что хотите поместить в корпус"
casejoinery,соединение корпуса
whether or not to join sides to front plate (disable if doing manual joins on fancy wood),соединять ли боковины с передней панелью (отключите для ручной сборки на красивом дереве)
Shoe,Коробка в форме ботинка
Shoe shaped box,Коробка в форме ботинка
Shoe shaped box with flat sides and rounded top.\n    Works best if flex if under slight compression.\n    Make sure that the following conditions are met:\n    y > tophole + r + fronttop;\n    height > frontheight., "Коробка в форме ботинка с плоскими боками и скругленным верхом.\n    Лучше всего работает, если немного сжата.\n    Убедитесь, что выполнены следующие условия:\n    y > tophole + r + fronttop;\n    height > frontheight."
Shoe Settings,Настройки Shoe
width of the shoe,ширина ботинка
length front to back,длина от носка до пятки
height at the back of the shoe,высота сзади ботинка
frontheight,высота спереди ботинка
height at the front of the shoe,высота спереди ботинка
fronttop,длина плоской части спереди ботинка
length of the flat part at the front of the shoe,длина плоской части спереди ботинка
tophole,длина отверстия сверху
length of the opening at the top,длина отверстия сверху
radius of the bend,радиус изгиба
ShutterBox,Коробка с гибкой шторкой
Box with a rolling shutter made of flex,Коробка с гибкой шторкой
Beware of the rolling shutter effect! Use wax on sliding surfaces.\n\n![Inside](static/samples/ShutterBox-3.jpg)\n\n![Detail](static/samples/ShutterBox-2.jpg)\n,"Осторожно с эффектом гибкой шторки! Используйте воск для скольжения.\n\n![Внутри](static/samples/ShutterBox-3.jpg)\n\n![Деталь](static/samples/ShutterBox-2.jpg)\n"
ShutterBox Settings,Настройки ShutterBox
Number of rounded top corners,Количество скругленных верхних углов
single,один
SideDoorHousing,Корпус с сервисными люками
Box with service hatches on either one or both of the sides that are locked with latches,Коробка с сервисными люками на одной или обеих сторонах, которые запираются на защёлки
"\nThis box is designed as a housing for electronic projects but could be used for other purposes. It has hatches that can be re-opened with simple tools. If built from thin enough material, it intentionally cannot be opened with bare hands.\n\nThe hatches are on the x sides.\n\n#### Assembly instructions\nThe main body is easy to assemble:\n1. Starting with the floor and then add the four walls (for any removable sides, the wall will just be a small part on the base )\n2. Add the top piece\n\nFor the removable walls:\n1. Add the lips to the removable walls\n2. Sit the latches in place (it is importand to make sure the springs on the latches point inwards and the angled ends point to the side walls. See image below)\n3. Glue the U-shaped clamps in place (it is important **not** to glue the latches)\n\n![Wall details](static/samples/SideDoorHousing.jpg)\n\n\n#### Re-Opening\n\nThe latches lock in place when closed. To open them they need to be pressed in and can then be moved aside.\n\n![Closed Box](static/samples/SideDoorHousing-2.jpg)\n\n","Этот корпус предназначен для электронных проектов, но может использоваться и для других целей. Он имеет люки, которые можно открыть с помощью простых инструментов. Если корпус изготовлен из достаточно тонкого материала, его специально нельзя открыть голыми руками.\n\nЛюки расположены на боковых сторонах.\n\n#### Инструкция по сборке\nОсновная часть корпуса собирается просто:\n1. Начните с пола, затем добавьте четыре стенки (для съёмных сторон стенка будет лишь небольшой частью основания)\n2. Добавьте верхнюю часть\n\nДля съёмных стенок:\n1. Прикрепите выступы к съёмным стенкам\n2. Установите защёлки (важно, чтобы пружины защёлок были направлены внутрь, а скошенные концы — к боковым стенкам. См. изображение ниже)\n3. Приклейте U-образные зажимы (очень важно **не** приклеивать сами защёлки)\n\n![Детали стенки](static/samples/SideDoorHousing.jpg)\n\n\n#### Повторное открытие\n\nЗащёлки фиксируются при закрытии. Чтобы открыть их, нужно надавить и сдвинуть в сторону.\n\n![Закрытая коробка](static/samples/SideDoorHousing-2.jpg)\n\n"
SideDoorHousing Settings,Настройки SideDoorHousing
double_door,двойная дверь
"allow removing the backwall, too","разрешить также снимать заднюю стенку"
SideHingeBox,Коробка с петлей сбоку
"Box, with an hinge that does not protrude from the back of the box, and a latch.","Коробка с петлей, которая не выступает за заднюю часть коробки, и с защёлкой."
"\nThis box is another take on a hinge box.\nThe hinges doesn't protrude from the box, but the sides needs double walls.\nWhen opened, 2 sides are opening, improving access inside the box.\nAn optional latch is included, based on a mechanical switch and a 3D printed button.\nThe latch is one-way: the box can be closed freely\n(this side of the button is angled, and totally smooth since it's the printing bed surface),\nbut can't be inadvertently opened.\n","Эта коробка — ещё один вариант коробки с петлей.\nПетли не выступают за пределы коробки, но боковые стенки должны быть двойными.\nПри открытии открываются две стороны, что облегчает доступ внутрь.\nВ комплекте есть дополнительная защёлка, основанная на механическом переключателе и 3D-печатной кнопке.\nЗащёлка односторонняя: коробку можно свободно закрыть\n(эта сторона кнопки скошена и полностью гладкая, так как это поверхность печатного стола),\nно случайно открыть её нельзя.\n"
SideHingeBox Settings,Настройки SideHingeBox
play between the two sides as multiple of the wall thickness,зазор между двумя сторонами в кратных толщине стенки
hinge_center,центр петли
distance between the hinge center and adjacent sides (0.0 for default),расстояние от центра петли до соседних сторон (0.0 по умолчанию)
hinge_radius,радиус петли
radius of the hinge inner circle,радиус внутреннего круга петли
cherrymx_latches,защёлки Cherry MX
"add one or two latches, based on 3D printing and a cherry mx compatible mechanical keyboard switch","добавить одну или две защёлки, основанные на 3D-печати и совместимом с Cherry MX механическом переключателе"
Silverware,Подставка для столовых приборов с ручкой
\nCuttlery stand with carrying grip\nusing flex for rounded corners\n,"\nПодставка для столовых приборов с ручкой для переноски\nиспользует гибкие элементы для скругления углов\n"
Silverware Settings,Настройки Silverware
cornerradius,радиус скругления углов
Radius of the corners,Радиус углов
handleheight,высота ручки
Height of the handle,Высота ручки
handlewidth,ширина ручки
Width of the handle,Ширина ручки
SkadisBoard,Настраиваемая перфорированная панель в стиле Ikea
Customizable Ikea like pegboard,Настраиваемая перфорированная панель, похожая на Ikea
"Best cut from 5mm material to match the original. Use the included washers to mount. The board needs space towards the wall for hooks to go into.\n\nYou can use boxes and holders from the \""WallMounted\"" group with \""skadis\"" as \""walltype\"". Note that these generators do not have any support to pick the right width(s). Inner distance between slots are 35 + n * 40 mm. It is recommended to cut the acceessories from 4 mm material. Then 36 + n * 40 mm should be used for inner widths. Deselect \""outside\"" where available to be able to deal with inner measurements.","Лучше всего вырезать из материала толщиной 5 мм, чтобы соответствовать оригиналу. Для крепления используйте прилагаемые шайбы. Для крючков требуется пространство между панелью и стеной.\n\nВы можете использовать коробки и держатели из группы \""WallMounted\"" с параметром \""skadis\"" как \""walltype\"". Обратите внимание, что эти генераторы не поддерживают автоматический выбор ширины. Внутреннее расстояние между отверстиями: 35 + n * 40 мм. Рекомендуется вырезать аксессуары из материала толщиной 4 мм. Тогда для внутренних ширин используйте 36 + n * 40 мм. Отключите параметр \""outside\"", если нужно работать с внутренними размерами."
SkadisBoard Settings,Настройки SkadisBoard
Number of holes left to right counting both even and odd rows,Количество отверстий слева направо, считая чётные и нечётные ряды
Number of rows of holes top to bottom,Количество рядов отверстий сверху вниз
SlantedTray,Лоток с наклонной стенкой
One row tray with high back wall and low front wall,Лоток с одним рядом, высокой задней и низкой передней стенкой
Can be used as a display or for cards or gaming tokens. Lay on the side to get piles to draw from.\n    ![Example Use](static/samples/SlantedTray-2.jpg),Можно использовать как подставку или для карт/жетонов. Положите на бок, чтобы получить стопки для вытаскивания.\n    ![Пример использования](static/samples/SlantedTray-2.jpg)
SlantedTray Settings,Настройки SlantedTray
height of the front as fraction of the total height,высота передней стенки как доля от общей высоты
SlidingDrawer,Выдвижной ящик
Sliding drawer box,Коробка с выдвижным ящиком
SlidingDrawer Settings,Настройки SlidingDrawer
play between the two parts as multiple of the wall thickness,зазор между частями в кратных толщине стенки
SlidingLidBox,Коробка с раздвижной крышкой
Box with rails for a sliding lid,Коробка с направляющими для раздвижной крышки
"* The sliding lid rests on the lower rails and is kept in place by the upper rails.\n* When using inner measurements, the height goes from bottom to lid, the lower rail is inside of the inner height.\n* The width of the rail can be adjusted, wider rails are more stable but make the opening smaller.\n* The horizontal margin makes the lid slightly narrower to prevent the lid from jamming.\n* The vertical margin makes the gap between the rails larger to let the lid slide more easily.\n\n![Closed](static/samples/SlidingLidBox-2.jpg)\n","* Раздвижная крышка лежит на нижних направляющих и удерживается верхними.\n* При использовании внутренних размеров высота измеряется от дна до крышки, нижняя направляющая находится внутри внутренней высоты.\n* Ширину направляющей можно регулировать: более широкие направляющие устойчивее, но уменьшают проём.\n* Горизонтальный зазор делает крышку немного уже, чтобы она не заклинивала.\n* Вертикальный зазор увеличивает пространство между направляющими, чтобы крышка легче скользила.\n\n![Закрыто](static/samples/SlidingLidBox-2.jpg)\n"
SlidingLidBox Settings,Настройки SlidingLidBox
rail,направляющая
width of the rail (multiples of thickness),ширина направляющей (в кратных толщине)
lid_type,тип крышки
add an optional grip hole to the lid,добавить отверстие для захвата в крышке
hole_length,длина отверстия для захвата
length of the grip hole in mm,длина отверстия для захвата в мм
width of the grip hole in mm,ширина отверстия для захвата в мм
hole_radius,радиус отверстия
SmallPartsTray,Лоток для мелких деталей с наклонными стенками
Tray with slants to easier get out game tokens or screws,Лоток с наклонными стенками для удобного извлечения жетонов или винтов
SmallPartsTray Settings,Настройки SmallPartsTray
angle of the ramps,угол наклонных стенок
rampheight,высота наклонных стенок
height of the ramps relative to to total height,высота наклонных стенок относительно общей высоты
two_sided,двусторонний
have ramps on both sides. Enables sliding dividers,наклонные стенки с обеих сторон. Позволяет использовать раздвижные перегородки
front_panel,передняя панель
have a vertical wall at the ramp,вертикальная стенка у наклонной части
SmallPartsTray2,Лоток типа Tray с наклоном к передней части
A Type Tray variant with slopes toward the front,Вариант лотка с наклоном к передней части
Assemble inside out. If there are inner front to back walls start with attaching the floor boards to them. Then add the vertical inner left to right walls. After sliding in the slopes attach the outer wall to fix everything in place.\n\nIf there are no inner front to back walls just add everything to one side wall and then add the other one after that. Possibly saving the front and back as last step.,Собирать изнутри наружу. Если есть внутренние стены спереди назад, начните с крепления пола к ним. Затем добавьте внутренние вертикальные стены слева направо. После установки наклонных частей закрепите внешнюю стенку, чтобы всё зафиксировать.\n\nЕсли внутренних стен спереди назад нет, просто соберите всё на одной боковой стенке, а затем добавьте вторую. Возможно, переднюю и заднюю стенки стоит оставить на последний этап.
SmallPartsTray2 Settings,Настройки SmallPartsTray2
SpicesRack,Полка для специй
Rack for cans of spices,Полка для банок со специями
SpicesRack Settings,Настройки SpicesRack
diameter of spice cans,диаметр банок для специй
height of the cans that needs to be supported,высота банок, которую нужно поддерживать
space between cans,расстояние между банками
numx,количество банок в ряду
number of cans in a row,количество банок в ряду
numy,количество банок в колонке
number of cans in a column,количество банок в колонке
in_place_supports,вставные опоры
place supports pieces in holes (check for fit yourself),разместить опоры в отверстиях (проверьте посадку самостоятельно)
